Source,Technology,Factor_Type,Job_Type,Unit,Year,Value,Value_Numeric,Method_Applied,Mapped_Rutovitz_Tech,Rutovitz_2030_Factor,Mapped_Catalogue_Tech,Learning_Rate,Projection_Input,Base_Year,Projected_Year,Projected_Value,Interpolation_Method
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2024,4.44,4.44,Original,,,,,,2024,2024,4.44,Known datapoint
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2025,4.14713825833,4.14713825833,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2025,4.14713825833,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2026,3.85427651665,3.85427651665,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2026,3.85427651665,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2027,3.56141477498,3.56141477498,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2027,3.56141477498,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2028,3.2685530333,3.2685530333,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2028,3.2685530333,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2029,2.97569129163,2.97569129163,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2029,2.97569129163,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2030,2.68282954996,2.68282954996,CAPEX/OPEX ratio projection,,,Small-scale Lithium-ion,,CAPEX 2030/2024=0.6042408896299716,2024,2030,2.68282954996,Known datapoint
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2031,2.64458860045,2.64458860045,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2031,2.64458860045,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2032,2.60634765094,2.60634765094,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2032,2.60634765094,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2033,2.56810670144,2.56810670144,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2033,2.56810670144,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2034,2.52986575193,2.52986575193,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2034,2.52986575193,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2035,2.49162480242,2.49162480242,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2035,2.49162480242,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2036,2.45338385292,2.45338385292,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2036,2.45338385292,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2037,2.41514290341,2.41514290341,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2037,2.41514290341,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2038,2.37690195391,2.37690195391,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2038,2.37690195391,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2039,2.3386610044,2.3386610044,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2039,2.3386610044,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2040,2.30042005489,2.30042005489,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2040,2.30042005489,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2041,2.26217910539,2.26217910539,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2041,2.26217910539,Linear interpolation between known datapoints
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2042,2.22393815588,2.22393815588,Linear interpolation,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2042,2.22393815588,Linear interpolation between known datapoints
